"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,,,,
"ND Medicaid Professional Services Fee Schedule",,,,,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Telehealth Allowed","Modifier Required","Professional Rate","Technical Rate","General Rate","ASC Rate","NDC Required","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","Service Authorization Required","LCD/NCD","EVV","General Notes"
"0072U","Cyp2d6 gen cyp2d6-2d7 hybrid","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0073U","Cyp2d6 gen cyp2d7-2d6 hybrid","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0074U","Cyp2d6 nonduplicated gene","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0075T","Perq stent/chest vert art","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0075U","Cyp2d6 5' gene dup/mlt","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0076T","S&i stent/chest vert art","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0076U","Cyp2d6 3' gene dup/mlt","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0077U","Ig paraprotein qual bld/ur","Professional","Yes",,"No",,,,"$43.43","Not Allowed","No","No","No","No","Yes","No",,,
"0079U","Cmprtv dna alys mlt snps","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0080U","Onc lng 5 clin rsk factr alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0082U","Rx test def 90+ rx/sbsts ur","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0083U","Onc rspse chemo cntrst tomog","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0084U","Rbc dna gnotyp 10 bld groups","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0086U","Nfct ds bact&fng org id 6+","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0087U","Crd hrt trnspl mrna 1283 gen","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0088U","Trnsplj kdn algrft rej 1494","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0089U","Onc mlnma prame & linc00518","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0090U","Onc cutan mlnma mrna 23 gene","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0091U","Onc clrct scr whl bld alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0092U","Onc lng 3 prtn bmrk plsm alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0093U","Rx mntr 65 com drugs urine","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0094U","Genome rapid sequence alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0095T","Artific diskectomy addl","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0095U","Ee 2 prtn bmrk elisa est","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0096U","Hpv hi risk types male urine","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0098T","Rev artific disc addl","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0100T","Prosth retina receive&gen","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0101T","Esw muscskel sys nos","Professional","Yes",,"No",,,,"$0.00","$74.62","No","No","No","No","No","No",,,
"0101U","Hered colon ca do 15 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0102T","Esw phy anes lat hmrl epcndl","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0102U","Hered brst ca rltd do 17 gen","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0103U","Hered ova ca pnl 24 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0105U","Neph ckd mult eclia tum nec","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0106T","Touch quant sensory test","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0106U","Gstr emptg 7 timed brth spec","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0107T","Vibrate quant sensory test","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0107U","C diff tox ag detcj ia stool","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0108T","Cool quant sensory test","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0108U","Gi barrett esoph 9 prtn bmrk","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0109T","Heat quant sensory test","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0109U","Id aspergillus dna 4 species","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0110T","Nos quant sensory test","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
