"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,
"ND Medicaid Dental Services Fee Schedule",,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Child Rate","Adult Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS Tribal Generate Encounter","ORP Provider NPI Required","Tooth Number","Tooth Surface","Tooth Quadrant","Service Authorization Required","General Notes"
"D2951","Tooth pin retention","Dental","Yes",,"$42.34","$32.31","Yes","No","Yes","No","Yes","No","No","No",
"D2952","Post and core cast + crown","Dental","Yes",,"$313.05","$248.70","Yes","No","Yes","No","Yes","No","No","No",
"D2954","Prefab post/core + crown","Dental","Yes",,"$242.39","$195.33","Yes","No","Yes","No","Yes","No","No","No",
"D2955","Post removal","Dental","Yes",,"$52.69","$42.47","Yes","No","Yes","No","Yes","No","No","No",
"D2960","Labial veneer resin direct","Dental","Yes",,"$455.83","$0.00","No","No","No","No","Yes","No","No","Yes",
"D2961","Labial veneer resin indirect","Dental","Yes",,"$351.17","$0.00","No","No","No","No","Yes","No","No","Yes",
"D2962","Labial veneer porc indirect","Dental","Yes",,"$773.20","$0.00","No","No","No","No","Yes","No","No","Yes",
"D2991","App of hydroxyapatite","Dental","Yes",,"$71.28","$67.18","No","No","No","No","Yes","No","No","No","Service will be allowed on primary and permanent teeth. Service may not be billed with D1351, D1353, and D1354. Service may not be billed on teeth that have had a previous restoration."
"D2999","Dental unspec restorative pr","Dental","Yes",,"$0.00","$0.00","No","No","No","No","Yes","No","No","Yes",
"D3110","Pulp cap direct","Dental","Yes","Covered through age 20 only","$50.35","$53.79","Yes","No","Yes","No","Yes","No","No","No",
"D3220","Therapeutic pulpotomy","Dental","Yes","Covered through age 20 only","$113.83","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D3221","Gross pulpal debridement","Dental","Yes","Covered through age 20 only","$144.47","$136.16","Yes","No","Yes","No","Yes","No","No","No",
"D3230","Pulpal therapy anterior prim","Dental","Yes","Covered through age 20 only","$115.22","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D3240","Pulpal therapy posterior pri","Dental","Yes","Covered through age 20 only","$145.79","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D3310","End thxpy, anterior tooth","Dental","Yes",,"$505.49","$477.64","Yes","No","Yes","No","Yes","No","No","No",
"D3320","End thxpy, bicuspid tooth","Dental","Yes","Covered through age 20 only","$653.69","$617.65","Yes","No","Yes","No","Yes","No","No","No",
"D3330","End thxpy, molar","Dental","Yes","Covered through age 20 only","$762.88","$720.83","Yes","No","Yes","No","Yes","No","No","No",
"D3331","Non-surg tx root canal obs","Dental","Yes","Covered through age 20 only","$65.50","$0.00","Yes","No","Yes","No","Yes","No","No","Yes, radiographs are required",
"D3332","Incomplete endodontic tx","Dental","Yes",,"$372.96","$351.51","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
