"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,
"ND Medicaid Durable Medical Equipment Services Fee Schedule",,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","Rental Rate","General Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","DME ICF Responsibility","DME NF Responsibility","DME SB Responsibility","Service Authorization Required","General Notes"
"A4371","Skin barrier powder per oz","DME-Purchase","Yes",,,,"$6.07","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","10 units allowed every 6 months"
"A4372","Skin barrier solid 4x4 equiv","DME-Purchase","Yes",,,,"$6.95","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4373","Skin barrier with flange","DME-Purchase","Yes",,,,"$10.42","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4375","Drainable plastic pch w fcpl","DME-Purchase","Yes",,,,"$29.06","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","10 units allowed every month"
"A4376","Drainable rubber pch w fcplt","DME-Purchase","Yes",,,,"$78.94","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A4377","Drainable plstic pch w/o fp","DME-Purchase","Yes",,,,"$7.42","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","10 units allowed every month"
"A4378","Drainable rubber pch w/o fp","DME-Purchase","Yes",,,,"$51.00","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4379","Urinary plastic pouch w fcpl","DME-Purchase","Yes",,,,"$24.91","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","10 units allowed every month"
"A4380","Urinary rubber pouch w fcplt","DME-Purchase","Yes",,,,"$61.94","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4381","Urinary plastic pouch w/o fp","DME-Purchase","Yes",,,,"$7.67","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","10 units allowed every month"
