"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,
"ND Medicaid Durable Medical Equipment Services Fee Schedule",,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","Rental Rate","General Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","DME ICF Responsibility","DME NF Responsibility","DME SB Responsibility","Service Authorization Required","General Notes"
"K0011","Stnd wt pwr whlchr w control","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$679.68","$6,796.80","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0012","Ltwt portbl power whlchr","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$416.95","$4,169.50","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"K0015","Detach non-adj ht armrst rep","DME-Purchase","Yes",,,,"$299.76","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 3 years"
"K0017","Detach adjust armrest base","DME-Purchase","Yes",,,,"$84.30","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 3 years"
"K0018","Detach adjust armrst upper","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$4.05","$47.11","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 2 years for purchase, 1 unit allowed every month for rental"
"K0019","Arm pad repl, each","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$2.41","$28.93","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 2 years for purchase, 1 unit allowed every month for rental"
"K0020","Fixed adjust armrest pair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$7.11","$85.24","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 2 years for purchase, 1 unit allowed every month for rental"
"K0037","Hi mount flip-up footrest ea","DME-Purchase","Yes",,,,"$68.68","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0038","Leg strap each","DME-Purchase","Yes",,,,"$43.03","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0039","Leg strap h style each","DME-Purchase","Yes",,,,"$101.61","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0040","Adjustable angle footplate","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$10.86","$133.46","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 2 years for purchase, 1 unit allowed every month for rental"
"K0041","Large size footplate each","DME-Purchase","Yes",,,,"$92.13","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0042","Standard size ftplate rep ea","DME-Purchase","Yes",,,,"$55.11","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0043","Ftrst lowr exten tube rep ea","DME-Purchase","Yes",,,,"$34.47","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0044","Ftrst upr hanger brac rep ea","DME-Purchase","Yes",,,,"$29.28","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0045","Ftrst compl assembly repl ea","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$7.14","$87.82","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 2 years for purchase, 1 unit allowed every month for rental"
"K0046","Elev lgrst lwr exten repl ea","DME-Purchase","Yes",,,,"$35.30","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0047","Elev legrst upr hangr rep ea","DME-Purchase","Yes",,,,"$137.76","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0050","Ratchet assembly replacement","DME-Purchase","Yes",,,,"$57.69","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0051","Cam rel asm ft/legrst rep ea","DME-Purchase","Yes",,,,"$83.53","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0052","Swingaway detach ftrest repl","DME-Purchase","Yes",,,,"$152.52","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0053","Elevate footrest articulate","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$14.52","$179.10","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0056","Seat ht <17 or >=21 ltwt wc","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$14.14","$169.60","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every year for purchase, 1 unit allowed every month for rental"
"K0065","Spoke protectors","DME-Purchase","Yes",,,,"$70.62","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0069","Rr whl compl sol tire rep ea","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$14.80","$182.56","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 2 years for purchase, 1 unit allowed every month for rental"
"K0070","Rr whl compl pne tire rep ea","DME-Purchase","Yes",,,,"$316.87","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0071","Fr cstr comp pne tire rep ea","DME-Purchase","Yes",,,,"$156.70","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0072","Fr cstr semi-pne tire rep ea","DME-Purchase","Yes",,,,"$95.28","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0073","Caster pin lock each","DME-Purchase","Yes",,,,"$59.42","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0077","Fr cstr asmb sol tire rep ea","DME-Purchase","Yes",,,,"$96.43","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0098","Drive belt for pwc, repl","DME-Purchase","Yes",,,,"$43.55","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0105","Iv hanger","DME-Purchase","Yes",,,,"$161.02","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"K0108","W/c component-accessory NOS","DME-Purchase","Yes",,,,"$0.00","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","Limit varies, invoice is required"
"K0195","Elevating whlchair leg rests","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$22.48","$269.46","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"K0455","Pump uninterrupted infusion","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$339.85","$4,964.47","No","No","No","Yes","Yes, for rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","31 units allowed every month for purchase, 1 unit every month for rental"
"K0552","Sup/ext non-ins inf pump syr","DME-Purchase","Yes",,,,"$4.18","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"K0601","Repl batt silver oxide 1.5 v","DME-Purchase","Yes",,,,"$1.84","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"K0602","Repl batt silver oxide 3 v","DME-Purchase","Yes",,,,"$10.63","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"K0603","Repl batt alkaline 1.5 v","DME-Purchase","Yes",,,,"$0.96","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"K0604","Repl batt lithium 3.6 v","DME-Purchase","Yes",,,,"$10.21","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"K0605","Repl batt lithium 4.5 v","DME-Purchase","Yes",,,,"$24.49","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"K0606","AED garment w elec analysis","DME-Rental","Yes",,"RR for rental","$3,222.35","$0.00","No","No","No","Yes","Yes, for rental","Yes, for rental","Yes, for rental","Yes, for rental","1 unit allowed every month for rental"
"K0730","Ctrl dose inh drug deliv sys","DME-Rental","Yes",,"RR for rental","$188.59","$0.00","No","No","No","Yes","Yes, for rental","Yes, for rental","Yes, for rental","Yes, for rental","1 unit allowed every month for rental"
"K0733","12-24hr sealed lead acid","DME-Purchase","Yes",,,,"$46.97","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 5 years"
"K0738","Portable gas oxygen system","DME-Rental","Yes",,"RR for rental","$42.44","$0.00","No","No","No","Yes","Yes, for rental","Yes, for rental","Yes, for rental","Yes, for rental","1 unit allowed every month for rental"
"K0739","Repair/svc DME non-oxygen eq","DME-Purchase","Yes",,,,"$16.24","No","No","No","Yes","No","Yes, for purchase","Yes, for purchase","Yes, for purchase","Limit varies"
"K0813","PWC gp 1 std port seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$248.29","$2,226.53","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0814","PWC gp 1 std port cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$313.72","$2,352.47","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0815","PWC gp 1 std seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$400.00","$2,666.67","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0816","PWC gp 1 std cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$353.74","$2,358.27","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0820","PWC gp 2 std port seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$280.66","$2,359.60","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0821","PWC gp 2 std port cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$353.74","$2,358.27","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0822","PWC gp 2 std seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$387.27","$2,581.80","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0823","PWC gp 2 std cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$353.74","$2,358.27","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0824","PWC gp 2 hd seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$563.60","$3,757.33","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0825","PWC gp 2 hd cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$442.05","$3,399.87","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0826","PWC gp 2 vhd seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$691.68","$6,360.33","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0827","PWC gp vhd cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$671.06","$5,571.80","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0828","PWC gp 2 xtra hd seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$763.34","$7,683.40","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0829","PWC gp 2 xtra hd cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$798.56","$7,464.80","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0830","PWC gp2 std seat elevate s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$494.90","$6,167.87","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0831","PWC gp2 std seat elevate cap","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$494.90","$6,167.87","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0835","PWC gp2 std sing pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$449.35","$2,995.67","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0836","PWC gp2 std sing pow opt cap","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$466.07","$3,107.13","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0837","PWC gp 2 hd sing pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$576.34","$3,842.27","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0838","PWC gp 2 hd sing pow opt cap","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$510.83","$3,405.53","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0839","PWC gp2 vhd sing pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$765.58","$5,103.87","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0840","PWC gp2 xhd sing pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$934.42","$7,836.07","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0841","PWC gp2 std mult pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$506.38","$3,375.87","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0842","PWC gp2 std mult pow opt cap","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$505.64","$3,370.93","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0843","PWC gp2 hd mult pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$600.26","$4,001.73","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0848","PWC gp 3 std seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$578.78","$6,491.07","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0849","PWC gp 3 std cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$556.12","$6,240.73","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0850","PWC gp 3 hd seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$642.20","$7,529.20","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0851","PWC gp 3 hd cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$617.38","$7,239.47","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0852","PWC gp 3 vhd seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$780.13","$8,699.60","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0853","PWC gp 3 vhd cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$801.23","$8,936.73","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0854","PWC gp 3 xhd seat/back","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$1,019.34","$11,839.27","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0855","PWC gp 3 xhd cap chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$953.37","$11,183.87","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0856","PWC gp3 std sing pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$621.98","$6,967.27","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0857","PWC gp3 std sing pow opt cap","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$580.03","$7,107.00","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0858","PWC gp3 hd sing pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$774.64","$8,644.40","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0859","PWC gp3 hd sing pow opt cap","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$724.97","$8,244.20","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0860","PWC gp3 vhd sing pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$1,088.77","$12,349.73","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0861","PWC gp3 std mult pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$622.92","$6,978.53","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0862","PWC gp3 hd mult pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$774.64","$8,644.40","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0863","PWC gp3 vhd mult pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$1,088.65","$12,349.73","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"K0864","PWC gp3 xhd mult pow opt s/b","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$971.36","$14,696.13","No","No","No","Yes","No","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"L0120","Cerv flex n/adj foam pre ots","DME-Purchase","Yes",,,,"$34.48","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0130","Flex thermoplastic collar mo","DME-Purchase","Yes",,,,"$210.10","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0140","Cervical semi-rigid adjustab","DME-Purchase","Yes",,,,"$93.80","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0150","Cerv semi-rig adj molded chn","DME-Purchase","Yes",,,,"$143.92","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0160","Cerv sr wire occ/man pre ots","DME-Purchase","Yes",,,,"$208.59","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0170","Cervical collar molded to pt","DME-Purchase","Yes",,,,"$925.65","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0172","Cerv col sr foam 2pc pre ots","DME-Purchase","Yes",,,,"$183.39","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0174","Cerv sr 2pc thor ext pre ots","DME-Purchase","Yes",,,,"$415.46","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0180","Cer post col occ/man sup adj","DME-Purchase","Yes",,,,"$550.75","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0190","Cerv collar supp adj cerv ba","DME-Purchase","Yes",,,,"$635.23","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0200","Cerv col supp adj bar & thor","DME-Purchase","Yes",,,,"$724.00","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0220","Thor rib belt custom fabrica","DME-Purchase","Yes",,,,"$168.92","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0450","Tlso flex trunk/thor pre ots","DME-Purchase","Yes",,,,"$146.36","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0454","Tlso trnk sj-t9 pre cst","DME-Purchase","Yes",,,,"$483.52","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0455","Tlso flex trnk sj-t9 pre ots","DME-Purchase","Yes",,,,"$294.27","No","No","No","Yes","No","No","No","No","1 unit allowed every 2 years"
"L0456","Tlso flex trnk sj-ss pre cst","DME-Purchase","Yes",,,,"$1,394.53","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0457","Tlso flex trnk sj-ss pre ots","DME-Purchase","Yes",,,,"$843.89","No","No","No","Yes","No","No","No","No","1 unit allowed every 2 years"
"L0458","TLSO 2Mod symphis-xipho pre","DME-Purchase","Yes",,,,"$1,249.76","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0460","Tlso 2 shl symphys-stern cst","DME-Purchase","Yes",,,,"$1,408.33","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0462","TLSO 3Mod sacro-scap pre","DME-Purchase","Yes",,,,"$1,751.36","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0464","TLSO 4Mod sacro-scap pre","DME-Purchase","Yes",,,,"$2,084.06","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0466","Tlso r fram soft ant pre cst","DME-Purchase","Yes",,,,"$505.01","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0468","Tlso rig fram pelvic pre cst","DME-Purchase","Yes",,,,"$632.04","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0469","Tlso rig fram pelvic pre ots","DME-Purchase","Yes",,,,"$447.12","No","No","No","Yes","No","No","No","No","1 unit allowed every 2 years"
"L0470","TLSO rigid frame pre subclav","DME-Purchase","Yes",,,,"$855.88","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0472","TLSO rigid frame hyperex pre","DME-Purchase","Yes",,,,"$537.80","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0480","TLSO rigid plastic custom fa","DME-Purchase","Yes",,,,"$2,257.66","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0482","TLSO rigid lined custom fab","DME-Purchase","Yes",,,,"$2,300.69","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0484","TLSO rigid plastic cust fab","DME-Purchase","Yes",,,,"$2,332.27","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0486","TLSO rigidlined cust fab two","DME-Purchase","Yes",,,,"$2,806.30","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0488","TLSO rigid lined pre one pie","DME-Purchase","Yes",,,,"$1,394.53","No","No","No","Yes","No","No","No","Yes, for purchase","1 unit allowed every year"
"L0490","TLSO rigid plastic pre one","DME-Purchase","Yes",,,,"$393.01","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0491","TLSO 2 piece rigid shell","DME-Purchase","Yes",,,,"$960.27","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0621","Sio flex pelvic/sacr pre ots","DME-Purchase","Yes",,,,"$140.91","No","No","No","Yes","No","No","No","No","1 unit allowed every year"
"L0625","Lo flex l1-below l5 pre ots","DME-Purchase","Yes",,,,"$64.53","No","No","No","Yes","No","No","No","No","1 unit allowed every 2 years"
